neighbourhood_group,room_type,price,availability_365
Brooklyn,Entire home_apt,199,30
Manhattan,Entire home_apt,225,0
Brooklyn,Private room,179,81
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,139,142
Manhattan,Private room,95,60
Brooklyn,Entire home_apt,79,179
Manhattan,Entire home_apt,150,52
Brooklyn,Entire home_apt,650,365
Brooklyn,Entire home_apt,90,324
Brooklyn,Entire home_apt,120,237
Queens,Private room,80,365
Brooklyn,Entire home_apt,100,365
Brooklyn,Entire home_apt,175,204
Brooklyn,Entire home_apt,120,272
Brooklyn,Entire home_apt,140,0
Brooklyn,Entire home_apt,200,9
Brooklyn,Private room,165,365
Manhattan,Entire home_apt,125,181
Manhattan,Entire home_apt,130,189
Manhattan,Shared room,65,0
Brooklyn,Entire home_apt,123,189
Manhattan,Private room,67,296
Queens,Private room,50,88
Brooklyn,Entire home_apt,130,35
Brooklyn,Private room,100,0
Manhattan,Entire home_apt,212,35
Brooklyn,Entire home_apt,190,359
Brooklyn,Private room,599,60
Manhattan,Entire home_apt,249,365
Queens,Private room,70,335
Brooklyn,Entire home_apt,100,282
Manhattan,Private room,60,247
Brooklyn,Entire home_apt,135,102
Brooklyn,Entire home_apt,175,274
Manhattan,Entire home_apt,120,201
Manhattan,Entire home_apt,169,98
Brooklyn,Entire home_apt,165,157
Manhattan,Private room,90,0
Manhattan,Entire home_apt,225,312
Brooklyn,Private room,95,331
Brooklyn,Private room,55,275
Manhattan,Private room,85,174
Brooklyn,Entire home_apt,199,223
Manhattan,Entire home_apt,211,361
Manhattan,Entire home_apt,145,0
Manhattan,Private room,65,283
Manhattan,Entire home_apt,99,220
Queens,Entire home_apt,110,363
Brooklyn,Entire home_apt,80,315
Brooklyn,Entire home_apt,150,281
Brooklyn,Entire home_apt,110,283
Manhattan,Private room,290,20
Manhattan,Private room,87,0
Brooklyn,Entire home_apt,190,331
Brooklyn,Entire home_apt,200,36
Brooklyn,Entire home_apt,165,7
Manhattan,Entire home_apt,110,301
Manhattan,Entire home_apt,395,170
Brooklyn,Private room,99,307
Brooklyn,Private room,39,365
Manhattan,Entire home_apt,189,201
Manhattan,Private room,85,0
Brooklyn,Entire home_apt,260,316
Manhattan,Entire home_apt,122,271
Brooklyn,Entire home_apt,165,139
Queens,Entire home_apt,97,209
Manhattan,Entire home_apt,170,0
Brooklyn,Entire home_apt,125,0
Manhattan,Private room,130,193
Brooklyn,Entire home_apt,225,52
Brooklyn,Private room,50,136
Brooklyn,Entire home_apt,170,286
Manhattan,Entire home_apt,132,0
Brooklyn,Entire home_apt,250,18
Brooklyn,Entire home_apt,141,9
Brooklyn,Entire home_apt,64,3
Brooklyn,Entire home_apt,249,277
Brooklyn,Private room,79,0
Manhattan,Entire home_apt,185,233
Brooklyn,Entire home_apt,120,221
Brooklyn,Entire home_apt,495,355
Manhattan,Entire home_apt,375,0
Manhattan,Entire home_apt,175,277
Manhattan,Entire home_apt,150,0
Manhattan,Entire home_apt,259,343
Manhattan,Private room,96,0
Brooklyn,Entire home_apt,145,0
Manhattan,Entire home_apt,200,0
Manhattan,Entire home_apt,95,0
Brooklyn,Entire home_apt,250,188
Manhattan,Entire home_apt,295,264
Manhattan,Entire home_apt,175,0
Brooklyn,Entire home_apt,451,331
Manhattan,Entire home_apt,165,236
Manhattan,Entire home_apt,250,0
Bronx,Entire home_apt,77,309
Manhattan,Entire home_apt,250,0
Queens,Entire home_apt,129,245
Brooklyn,Private room,98,0
Brooklyn,Entire home_apt,150,8
Manhattan,Private room,95,359
Manhattan,Private room,55,333
Manhattan,Entire home_apt,300,258
Queens,Private room,42,236
Brooklyn,Entire home_apt,125,22
Manhattan,Private room,175,236
Manhattan,Private room,75,365
Brooklyn,Entire home_apt,255,89
Brooklyn,Entire home_apt,72,164
Brooklyn,Private room,165,311
Brooklyn,Entire home_apt,165,23
Brooklyn,Private room,75,365
Brooklyn,Entire home_apt,130,0
Brooklyn,Entire home_apt,139,222
Brooklyn,Private room,88,238
Brooklyn,Private room,80,218
Manhattan,Private room,150,0
Manhattan,Entire home_apt,200,0
Manhattan,Entire home_apt,200,235
Queens,Private room,42,246
Brooklyn,Private room,90,0
Manhattan,Entire home_apt,295,247
Brooklyn,Entire home_apt,450,15
Brooklyn,Entire home_apt,130,119
Brooklyn,Private room,89,0
Manhattan,Entire home_apt,198,234
Manhattan,Entire home_apt,99,257
Brooklyn,Private room,46,350
Manhattan,Private room,140,221
Brooklyn,Entire home_apt,500,0
Manhattan,Private room,75,201
Queens,Private room,33,161
Manhattan,Entire home_apt,250,259
Brooklyn,Private room,60,0
Manhattan,Private room,75,222
Brooklyn,Entire home_apt,350,0
Manhattan,Entire home_apt,205,76
Brooklyn,Entire home_apt,219,0
Brooklyn,Private room,60,258
Manhattan,Entire home_apt,185,14
Manhattan,Entire home_apt,190,27
Brooklyn,Entire home_apt,105,167
Manhattan,Entire home_apt,250,68
Manhattan,Entire home_apt,175,358
Manhattan,Private room,65,59
Brooklyn,Entire home_apt,75,0
Bronx,Private room,37,232
Brooklyn,Entire home_apt,85,15
Brooklyn,Entire home_apt,106,0
Manhattan,Entire home_apt,79,0
Brooklyn,Private room,85,161
Manhattan,Private room,170,88
Manhattan,Private room,115,337
Manhattan,Private room,89,247
Manhattan,Shared room,49,248
Brooklyn,Private room,91,287
Manhattan,Entire home_apt,400,304
Brooklyn,Entire home_apt,150,0
Manhattan,Entire home_apt,2000,0
Brooklyn,Entire home_apt,97,193
Manhattan,Private room,100,43
Brooklyn,Entire home_apt,179,25
Brooklyn,Entire home_apt,500,127
Manhattan,Entire home_apt,429,0
Manhattan,Entire home_apt,189,303
Manhattan,Private room,120,345
Manhattan,Entire home_apt,300,115
Queens,Entire home_apt,107,200
Queens,Entire home_apt,95,271
Manhattan,Entire home_apt,199,12
Manhattan,Entire home_apt,120,268
Manhattan,Entire home_apt,199,89
Bronx,Entire home_apt,125,347
Brooklyn,Private room,70,37
Brooklyn,Private room,75,0
Manhattan,Private room,100,359
Brooklyn,Entire home_apt,99,287
Manhattan,Entire home_apt,250,0
Brooklyn,Entire home_apt,350,233
Brooklyn,Entire home_apt,170,129
Manhattan,Entire home_apt,165,0
Manhattan,Private room,99,353
Manhattan,Private room,255,365
Brooklyn,Entire home_apt,169,297
Brooklyn,Entire home_apt,99,56
Manhattan,Entire home_apt,169,44
Brooklyn,Entire home_apt,160,355
Brooklyn,Entire home_apt,215,156
Brooklyn,Entire home_apt,130,273
Manhattan,Private room,110,274
Manhattan,Private room,150,258
Brooklyn,Private room,65,276
Queens,Private room,75,65
Manhattan,Entire home_apt,149,0
Manhattan,Private room,89,180
Manhattan,Private room,50,343
Brooklyn,Private room,43,43
Brooklyn,Private room,42,96
Brooklyn,Private room,85,59
Brooklyn,Entire home_apt,139,255
Brooklyn,Private room,105,252
Brooklyn,Entire home_apt,265,0
Manhattan,Entire home_apt,149,20
Manhattan,Private room,68,188
Brooklyn,Entire home_apt,99,304
Manhattan,Private room,75,38
Brooklyn,Private room,100,254
Manhattan,Shared room,90,0
Manhattan,Entire home_apt,160,46
Brooklyn,Entire home_apt,190,328
Brooklyn,Private room,67,0
Manhattan,Entire home_apt,190,0
Brooklyn,Entire home_apt,248,199
Brooklyn,Private room,100,249
Manhattan,Private room,95,64
Manhattan,Private room,150,111
Brooklyn,Entire home_apt,145,287
Brooklyn,Private room,41,286
Brooklyn,Entire home_apt,120,263
Bronx,Private room,50,276
Brooklyn,Entire home_apt,157,0
Brooklyn,Entire home_apt,195,263
Brooklyn,Entire home_apt,70,90
Brooklyn,Entire home_apt,185,0
Brooklyn,Entire home_apt,145,11
Queens,Private room,50,287
Brooklyn,Entire home_apt,185,1
Manhattan,Entire home_apt,250,0
Manhattan,Private room,80,338
Manhattan,Entire home_apt,230,44
Brooklyn,Entire home_apt,100,0
Brooklyn,Private room,40,5
Manhattan,Private room,200,0
Staten Island,Private room,80,158
Brooklyn,Private room,79,192
Queens,Entire home_apt,95,358
Manhattan,Entire home_apt,300,31
Brooklyn,Entire home_apt,100,241
Manhattan,Private room,80,285
Brooklyn,Entire home_apt,110,183
Brooklyn,Entire home_apt,172,189
Manhattan,Entire home_apt,199,162
Manhattan,Entire home_apt,199,158
Manhattan,Private room,100,84
Manhattan,Private room,55,260
Brooklyn,Private room,75,0
Manhattan,Entire home_apt,146,166
Manhattan,Private room,250,0
Brooklyn,Entire home_apt,116,335
Manhattan,Private room,150,90
Brooklyn,Private room,120,342
Manhattan,Entire home_apt,199,28
Brooklyn,Entire home_apt,150,363
Manhattan,Private room,69,86
Manhattan,Private room,300,83
Brooklyn,Entire home_apt,230,0
Manhattan,Entire home_apt,125,0
Brooklyn,Private room,79,264
Brooklyn,Private room,130,305
Brooklyn,Private room,239,356
Staten Island,Entire home_apt,75,278
Brooklyn,Entire home_apt,220,135
Brooklyn,Entire home_apt,80,308
Manhattan,Entire home_apt,288,229
Brooklyn,Entire home_apt,135,273
Manhattan,Entire home_apt,225,83
Manhattan,Private room,110,281
Brooklyn,Entire home_apt,100,321
Manhattan,Private room,130,303
Manhattan,Private room,89,192
Brooklyn,Entire home_apt,200,0
Brooklyn,Entire home_apt,80,36
Bronx,Private room,50,271
Manhattan,Entire home_apt,135,341
Manhattan,Private room,90,333
Manhattan,Private room,270,210
Brooklyn,Entire home_apt,110,231
Manhattan,Entire home_apt,145,308
Manhattan,Entire home_apt,179,292
Queens,Private room,55,311
Manhattan,Private room,110,264
Manhattan,Entire home_apt,325,153
Queens,Private room,75,219
Brooklyn,Entire home_apt,300,0
Manhattan,Private room,130,332
Manhattan,Entire home_apt,190,120
Manhattan,Entire home_apt,200,191
Brooklyn,Entire home_apt,180,248
Brooklyn,Entire home_apt,350,67
Manhattan,Entire home_apt,160,0
Manhattan,Entire home_apt,195,325
Manhattan,Entire home_apt,241,249
Manhattan,Entire home_apt,300,0
Queens,Entire home_apt,75,313
Manhattan,Entire home_apt,100,0
Manhattan,Entire home_apt,399,12
Brooklyn,Private room,85,69
Brooklyn,Entire home_apt,80,0
Brooklyn,Private room,55,293
Brooklyn,Private room,438,363
Brooklyn,Entire home_apt,110,4
Manhattan,Entire home_apt,200,257
Brooklyn,Private room,279,362
Brooklyn,Entire home_apt,137,0
Brooklyn,Entire home_apt,280,365
Brooklyn,Entire home_apt,199,102
Manhattan,Private room,71,26
Bronx,Private room,42,302
Brooklyn,Entire home_apt,180,280
Manhattan,Entire home_apt,226,302
Brooklyn,Private room,85,281
Manhattan,Entire home_apt,135,0
Queens,Entire home_apt,79,297
Manhattan,Entire home_apt,154,246
Brooklyn,Entire home_apt,199,60
Manhattan,Entire home_apt,700,296
Manhattan,Entire home_apt,246,0
Manhattan,Private room,125,364
Brooklyn,Private room,100,281
Brooklyn,Entire home_apt,295,0
Brooklyn,Private room,150,0
Manhattan,Entire home_apt,119,0
Manhattan,Private room,125,365
Manhattan,Entire home_apt,400,365
Manhattan,Entire home_apt,850,249
Brooklyn,Private room,129,303
Manhattan,Private room,140,300
Manhattan,Private room,115,323
Manhattan,Entire home_apt,200,0
Brooklyn,Entire home_apt,96,204
Brooklyn,Entire home_apt,199,60
Brooklyn,Entire home_apt,199,84
Brooklyn,Entire home_apt,199,60
Brooklyn,Private room,69,303
Manhattan,Entire home_apt,185,261
Manhattan,Private room,81,0
Brooklyn,Entire home_apt,199,60
Brooklyn,Entire home_apt,199,60
Brooklyn,Entire home_apt,199,60
Brooklyn,Entire home_apt,199,56
Brooklyn,Entire home_apt,199,84
Brooklyn,Private room,349,58
Brooklyn,Private room,249,60
Brooklyn,Private room,299,60
Brooklyn,Private room,179,81
Queens,Private room,54,365
Brooklyn,Private room,599,60
Brooklyn,Entire home_apt,110,0
Brooklyn,Entire home_apt,220,297
Brooklyn,Private room,89,91
Brooklyn,Entire home_apt,170,315
Manhattan,Entire home_apt,495,338
Queens,Entire home_apt,80,40
Manhattan,Entire home_apt,760,361
Brooklyn,Private room,98,288
Brooklyn,Entire home_apt,125,218
Brooklyn,Private room,48,1
Brooklyn,Private room,64,117
Brooklyn,Entire home_apt,154,0
Brooklyn,Entire home_apt,139,204
Queens,Private room,75,0
Manhattan,Entire home_apt,325,20
Manhattan,Entire home_apt,195,0
Manhattan,Private room,58,0
Staten Island,Entire home_apt,250,333
Staten Island,Private room,50,189
Staten Island,Entire home_apt,125,353
Brooklyn,Entire home_apt,70,0
Manhattan,Entire home_apt,189,206
Brooklyn,Entire home_apt,130,1
Manhattan,Entire home_apt,145,0
Manhattan,Private room,101,307
Manhattan,Private room,95,0
Manhattan,Entire home_apt,375,0
Manhattan,Entire home_apt,153,27
Brooklyn,Entire home_apt,92,27
Manhattan,Private room,80,348
Manhattan,Entire home_apt,300,246
Brooklyn,Entire home_apt,145,15
Manhattan,Private room,88,0
Manhattan,Entire home_apt,155,5
Brooklyn,Entire home_apt,185,0
Queens,Private room,73,0
Manhattan,Entire home_apt,225,107
Manhattan,Private room,85,144
Brooklyn,Private room,99,98
Brooklyn,Private room,48,0
Manhattan,Entire home_apt,200,0
Manhattan,Entire home_apt,485,0
Manhattan,Entire home_apt,310,89
Brooklyn,Entire home_apt,110,354
Manhattan,Entire home_apt,109,286
Manhattan,Entire home_apt,167,252
Brooklyn,Entire home_apt,147,189
Manhattan,Entire home_apt,220,0
Manhattan,Entire home_apt,195,271
Manhattan,Entire home_apt,199,0
Manhattan,Private room,65,0
Queens,Private room,55,0
Bronx,Private room,50,337
Brooklyn,Private room,60,347
Manhattan,Private room,99,127
Manhattan,Entire home_apt,130,41
Brooklyn,Entire home_apt,290,0
Manhattan,Entire home_apt,350,18
Brooklyn,Private room,50,158
Queens,Private room,96,270
Brooklyn,Private room,45,88
Queens,Private room,85,306
Brooklyn,Private room,34,216
Manhattan,Entire home_apt,250,16
Brooklyn,Private room,190,365
Brooklyn,Private room,75,365
Brooklyn,Entire home_apt,93,312
Brooklyn,Private room,60,33
Brooklyn,Private room,65,0
Manhattan,Entire home_apt,125,365
Manhattan,Entire home_apt,300,27
Manhattan,Entire home_apt,150,300
Manhattan,Entire home_apt,56,216
Manhattan,Entire home_apt,299,365
Brooklyn,Private room,60,303
Brooklyn,Entire home_apt,88,0
Brooklyn,Private room,60,161
Manhattan,Entire home_apt,1300,297
Manhattan,Private room,200,0
Manhattan,Private room,99,50
Brooklyn,Entire home_apt,110,28
Brooklyn,Entire home_apt,135,317
Manhattan,Entire home_apt,110,275
Brooklyn,Entire home_apt,165,80
Brooklyn,Entire home_apt,127,365
Brooklyn,Entire home_apt,402,340
Manhattan,Private room,85,97
Brooklyn,Private room,75,365
Manhattan,Entire home_apt,139,314
Brooklyn,Entire home_apt,70,0
Manhattan,Private room,50,339
Queens,Private room,30,0
Manhattan,Entire home_apt,250,35
Brooklyn,Private room,64,0
Manhattan,Entire home_apt,300,365
Brooklyn,Entire home_apt,800,257
Brooklyn,Entire home_apt,100,5
Brooklyn,Entire home_apt,250,0
Manhattan,Entire home_apt,200,0
Brooklyn,Entire home_apt,140,0
Manhattan,Private room,130,304
Brooklyn,Entire home_apt,90,286
Manhattan,Entire home_apt,90,0
Brooklyn,Private room,97,118
Brooklyn,Entire home_apt,91,265
Brooklyn,Private room,125,303
Brooklyn,Private room,75,0
Manhattan,Entire home_apt,180,125
Brooklyn,Entire home_apt,300,354
Brooklyn,Entire home_apt,100,6
Manhattan,Entire home_apt,175,0
Brooklyn,Private room,65,80
Manhattan,Entire home_apt,240,134
Manhattan,Private room,300,0
Manhattan,Entire home_apt,385,364
Brooklyn,Private room,47,0
Brooklyn,Entire home_apt,110,297
Manhattan,Private room,75,0
Brooklyn,Entire home_apt,100,43
Manhattan,Entire home_apt,165,10
Brooklyn,Entire home_apt,300,0
Brooklyn,Entire home_apt,140,189
Brooklyn,Entire home_apt,120,17
Brooklyn,Entire home_apt,175,289
Brooklyn,Entire home_apt,275,305
Manhattan,Entire home_apt,179,0
Brooklyn,Entire home_apt,189,0
Manhattan,Entire home_apt,219,220
Manhattan,Entire home_apt,450,0
Manhattan,Entire home_apt,249,0
Queens,Private room,65,362
Brooklyn,Entire home_apt,250,121
Manhattan,Entire home_apt,139,153
Manhattan,Entire home_apt,209,205
Brooklyn,Entire home_apt,120,310
Queens,Entire home_apt,70,0
Manhattan,Private room,90,236
Manhattan,Entire home_apt,199,200
Brooklyn,Private room,50,74
Brooklyn,Entire home_apt,100,0
Manhattan,Entire home_apt,110,0
Brooklyn,Entire home_apt,157,12
Brooklyn,Entire home_apt,199,84
Queens,Entire home_apt,192,0
Brooklyn,Entire home_apt,199,84
Manhattan,Entire home_apt,150,0
Brooklyn,Entire home_apt,199,56
